vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Data Scientist,,,,Лига Цифровой Экономики,"Москва, Савёловская и еще 2 ",https://chelyabinsk.hh.ru/vacancy/83274323?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist в SberData,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83448921?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist,,,,"билайн: ИТ, Data, Digital",Москва,https://chelyabinsk.hh.ru/vacancy/83209990?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,"билайн: ИТ, Data, Digital",Москва,https://chelyabinsk.hh.ru/vacancy/82540302?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist CVM,,,,АО Банк ЦентрКредит,Алматы,https://chelyabinsk.hh.ru/vacancy/81878002?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist NLP (middle),,,,ПАО Ростелеком,Москва,https://chelyabinsk.hh.ru/vacancy/83238281?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Динамическое ценообразование),,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83288285?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Middle\Middle+),,,,"билайн: ИТ, Data, Digital",Москва,https://chelyabinsk.hh.ru/vacancy/83073814?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (NLP),,,,ООО БиАйЭй-Технолоджиз,"Москва, Кутузовская",https://chelyabinsk.hh.ru/vacancy/80088766?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle+/Senior Data Scientist в Блок Финансы,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83356757?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist – Senior/Chief,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83358213?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Junior/Middle Data Scientist,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/82785357?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Middle),,,,ООО Строительный Двор,"Москва, Улица 1905 года",https://chelyabinsk.hh.ru/vacancy/81543934?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Газпромбанк,Москва,https://chelyabinsk.hh.ru/vacancy/81724946?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,ПАО «Газпром нефть» ИТ,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/83102957?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist,,,,ООО ДСЛАБ,"Москва, Новокузнецкая",https://chelyabinsk.hh.ru/vacancy/82633532?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist в R&D-команду SupportAI,,,,Яндекс,Москва,https://chelyabinsk.hh.ru/vacancy/83084971?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Data Scientist (NLP, NER)",,,,ФГБУ ЦСП ФМБА России,Москва,https://chelyabinsk.hh.ru/vacancy/83153729?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead data scientist (Анализ цены и Trade in),,,,Домклик,Москва,https://chelyabinsk.hh.ru/vacancy/76954383?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (NLP),,,,ООО БиАйЭй-Технолоджиз,"Санкт-Петербург, Фрунзенская",https://chelyabinsk.hh.ru/vacancy/83273463?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle Data Scientist,,,,ЗАО Группа компаний С7,"Москва, Кузнецкий мост и еще 2 ",https://chelyabinsk.hh.ru/vacancy/83181947?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist,,,,Click,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/76829230?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Cloud.ru,"Москва, Улица 1905 года",https://chelyabinsk.hh.ru/vacancy/82918125?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
