vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Midde Data Scientist (команда Персонализации коммуникаций от потребности клиента),,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83238611?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Бизнес-аналитик (Кредитование ЮЛ),240000,280000,₽,Outlines Technologies,Москва,https://chelyabinsk.hh.ru/vacancy/83124850?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist/Machine Learning Engineer (СV/NLP/Audio),,,,ООО ЕСН,Москва,https://chelyabinsk.hh.ru/vacancy/81868771?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist / Machine Learning Engineer (Audio),,,,ООО ЕСН,Москва,https://chelyabinsk.hh.ru/vacancy/81868724?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior/Lead Data Scientist,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83213672?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior NLP Data Scientist (команда SberCare.Боты),,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83213511?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Junior Data Scientist (сопровождение процесса разработки и использования моделей),,,,"ПАО ВТБ, Подразделения Поддержки и Контроля",Москва,https://chelyabinsk.hh.ru/vacancy/77907673?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (сопровождение процесса разработки и использования моделей),,,,"ПАО ВТБ, Подразделения Поддержки и Контроля",Москва,https://chelyabinsk.hh.ru/vacancy/70903553?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Investigation Analyst,1000,2000,$,Inca Digital,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/82984473?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Product Owner (marketing platform),,,,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Алматы,https://chelyabinsk.hh.ru/vacancy/83254869?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Engineer,,,,Циан,Москва,https://chelyabinsk.hh.ru/vacancy/83222207?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data engineer,,,,«РОСБАНК»,Москва,https://chelyabinsk.hh.ru/vacancy/81963963?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Ведущий бизнес аналитик, кредитный проект",,,,AWG,Москва,https://chelyabinsk.hh.ru/vacancy/83267777?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Управляющий директор \ Data Scientist (Сопровождение процесса разработки и использования моделей),,,,"ПАО ВТБ, Подразделения Поддержки и Контроля",Москва,https://chelyabinsk.hh.ru/vacancy/78465611?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Старший менеджер продукта (Supply / Demand баланс),,,,СберМаркет,Москва,https://chelyabinsk.hh.ru/vacancy/83245542?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Системный аналитик (Супермаркет Данных),,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/83217488?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Старший бизнес/системный аналитик, управление рисками малого и среднего бизнеса",,,,AWG,Москва,https://chelyabinsk.hh.ru/vacancy/83196573?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist в направление продвинутой аналитики домена Operations,,,,Райффайзен Банк,Москва,https://chelyabinsk.hh.ru/vacancy/83138128?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Engineer,,,,Газпромбанк,"Москва, Добрынинская",https://chelyabinsk.hh.ru/vacancy/83140463?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Quant / Data Scientist (Руководитель направления Управление рисками),,,,АО ДОМ.РФ,Москва,https://chelyabinsk.hh.ru/vacancy/72740316?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior DS Computer Vision engineer,,,,Группа НЛМК ИТ и Диджитал,Москва,https://chelyabinsk.hh.ru/vacancy/82893959?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Technical product manager в риск-технологии,,,,Тинькофф,Москва,https://chelyabinsk.hh.ru/vacancy/82957220?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (digital marketing),,,,ООО AUXO (Атос АйТи Солюшенс энд Сервисез),Москва,https://chelyabinsk.hh.ru/vacancy/78851235?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Системный аналитик,,,,Сбер. IT,Самара,https://chelyabinsk.hh.ru/vacancy/81558859?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist (модели кредитного риска),,,,Альфа-Банк. Digital & IT,"Москва, Технопарк",https://chelyabinsk.hh.ru/vacancy/82844304?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist (Валидатор моделей банковской и торговой книг),,,,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82844350?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Бизнес-аналитик (Data Science направление),,,,red_mad_robot,Москва,https://chelyabinsk.hh.ru/vacancy/82831825?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist Управления модельных рисков и валидации,,,,"ПАО ВТБ, Технологический блок",Новосибирск,https://chelyabinsk.hh.ru/vacancy/79715865?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Python backend developer (ComplexML),,,,Cloud.ru,Москва,https://chelyabinsk.hh.ru/vacancy/71225952?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
ML-инженер (Кредитный скоринг),180000,,₽,ООО Займиго МФК,"Москва, Курская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82775838?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Скоринг-аналитик / Data scientist / Аналитик (скоринг),,,,Займ-Экспресс,"Москва, Краснопресненская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/79402148?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data scientist/ Эконометрист/ Price - аналитик,,,,ООО Петровакс Фарм,"Москва, Деловой центр и еще 2 ",https://chelyabinsk.hh.ru/vacancy/79095440?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Junior Data scientist (Валидатор моделей банковской и торговой книг),,,,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82643522?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Инженер данных,,,,Центр финансовых технологий,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/73740883?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Инженер данных,,,,Центр финансовых технологий,Новосибирск,https://chelyabinsk.hh.ru/vacancy/73740887?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Engineer (Рекламные технологии),,,,VK,"Москва, Аэропорт",https://chelyabinsk.hh.ru/vacancy/82676276?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Аналитик данных / Data Scientist Службы риск-менеджмента и кредитных рисков,,,,"ООО Кубань Кредит, КБ",Краснодар,https://chelyabinsk.hh.ru/vacancy/80248262?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Инженер данных / Data Engineer,,,,Сибур,"Москва, Профсоюзная",https://chelyabinsk.hh.ru/vacancy/82652148?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Manager / Senior Manager to Data & Analytics department,,,,PricewaterhouseCoopers,Алматы,https://chelyabinsk.hh.ru/vacancy/82489414?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Руководитель проекта (Дата проекта),,,,ПАО «Газпром нефть» ,Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/82674668?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Аналитик скоринга / Data Scientist,,,,МигКредит,Москва,https://chelyabinsk.hh.ru/vacancy/82118041?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Engineer направления разработки витрин данных,,,,"Иннотех, Группа компаний",Москва,https://chelyabinsk.hh.ru/vacancy/78843112?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Старший ML-инженер (Кредитный скоринг),250000,,₽,ООО Займиго МФК,"Москва, Курская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82192275?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Центр валидации моделей сервисных блоков и экосистемы),,,,Сбер. Data Science,"Москва, Кутузовская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82098818?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Аналитик-макроэкономист,400000,500000,₸,ТОО Alteco Partners,Алматы,https://chelyabinsk.hh.ru/vacancy/82185995?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Аналитик,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/80828825?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Data engineer/Backend-разработчик (Middle, Data Team)",,,,Туту.ру,"Москва, Нагатинская",https://chelyabinsk.hh.ru/vacancy/80968450?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Ведущий портфельный риск-менеджер (Управление кредитных рисков МСБ),,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/81032480?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Менеджер проектов продвинутой аналитики,,,,Сибур,"Москва, Профсоюзная",https://chelyabinsk.hh.ru/vacancy/80493452?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Системный аналитик в команду SafeData,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/82132775?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Младший аналитик,60000,,₽,ООО НТ Разработки,Москва,https://chelyabinsk.hh.ru/vacancy/82281897?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Fullstack Разработчик (PHP /.Net),500,700,€,Corporate Solutions Group,Ташкент,https://chelyabinsk.hh.ru/vacancy/83305086?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
CV/ML Engineer,,,,ООО Синерик ЭйАй,Минск,https://chelyabinsk.hh.ru/vacancy/82196046?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist в R&D-команду логистики Маркета,400000,650000,₽,Яндекс,Армения,https://chelyabinsk.hh.ru/vacancy/83442003?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist в R&D-команду логистики Маркета,400000,650000,₽,Яндекс,Сербия,https://chelyabinsk.hh.ru/vacancy/83442001?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist / ML Engineer (Middle+),180000,260000,₽,DIGINETICA,Казань,https://chelyabinsk.hh.ru/vacancy/81489622?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist в R&D-команду логистики Маркета,400000,650000,₽,Яндекс,Новосибирск,https://chelyabinsk.hh.ru/vacancy/83441999?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Lead Data Scientist в R&D-команду логистики Маркета,400000,650000,₽,Яндекс,Екатеринбург,https://chelyabinsk.hh.ru/vacancy/83441998?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Cпециалист по обработке и анализу данных для машинного обучения (Data Scientist),120000,,₽,ООО Исток Аудио Трейдинг,Фрязино,https://chelyabinsk.hh.ru/vacancy/83274294?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Cпециалист по обработке и анализу данных для машинного обучения (Data Scientist),120000,,₽,ООО Исток Аудио Трейдинг,Королев,https://chelyabinsk.hh.ru/vacancy/83274299?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
